ds,yhat,yhat_lower,yhat_upper
2015-01-01,21.062782100024137,14.648669608625552,26.8999036780284
2015-01-02,21.256125986619338,15.113537600288398,27.36702928992953
2015-01-03,21.100603318629513,15.376595458959299,27.08816534411039
2015-01-04,21.313185933366103,15.04291820872856,26.740042734869327
2015-01-05,21.22366334114184,15.390870588248651,27.265434958336343
2015-01-06,21.1763397370946,14.88914437871944,27.192611441700883
2015-01-07,21.619706048048233,15.568636408840337,28.12659889029277
2015-01-08,22.331861618647846,16.167140577075422,28.625074955169836
2015-01-09,22.350862973898263,15.832264472753508,28.182921848434408
2015-01-10,21.993241883450438,15.908292872739386,27.577920810559903
2015-01-11,21.980555525559872,15.899697182800553,27.887319685857506
2015-01-12,21.64771803418158,15.38022999113945,27.39510872237895
2015-01-13,21.34457183626417,15.598434225336817,27.672919830296674
2015-01-14,21.525424636468482,15.404467248923964,27.43854499659224
2015-01-15,21.974330086247026,15.688919950695675,27.85802264204205
2015-01-16,21.735293131215514,15.385472170756616,27.980965660296313
2015-01-17,21.13064585049166,15.318835789995267,26.915306202632493
2015-01-18,20.88746011342252,14.658638748264767,27.113243827606883
2015-01-19,20.34574971362811,13.785978547122907,26.181678414145654
2015-01-20,19.85992352760361,13.799694004402758,25.957779667987477
2015-01-21,19.888218380636864,13.534172152536824,26.01588911679178
2015-01-22,20.21789209847774,14.174822460892106,26.242544360258226
2015-01-23,19.895359737531795,14.566165643129686,25.773570184600004
2015-01-24,19.24452031690978,13.06778041542241,25.01841309071248
2015-01-25,18.993141365079392,13.218137030631837,25.02954897981329
2015-01-26,18.48105438668822,12.032990081177838,24.40709465333225
2015-01-27,18.061622696006214,12.110696986931227,24.099933226169053
2015-01-28,18.191209661835156,11.850811161479516,24.452985321066816
2015-01-29,18.654426690697452,12.913774494341311,24.587910579905028
2015-01-30,18.49434231208054,12.813008902446755,24.52847579865779
2015-01-31,18.03089763120609,12.64952976049166,24.19254847042166
2015-02-01,17.987393034139483,11.687613111381427,24.12141855123828
2015-02-02,17.698796520713962,11.719652000721522,23.8697173657688
2015-02-03,17.51333215406169,11.065232131000966,23.488690341911624
2015-02-04,17.882073565953355,11.322694222542273,24.42002672973341
2015-02-05,18.58431867328732,12.061677323537431,24.540094374463468
2015-02-06,18.65792381488717,12.684936422813209,24.14498209488339
2015-02-07,18.417839518472565,12.111605312199304,24.741290855229032
2015-02-08,18.58270989344287,12.625506263783882,25.028525066349417
2015-02-09,18.48328340222828,12.026842125098629,24.502013463753478
2015-02-10,18.464091157865628,12.506560386286225,24.25656133516599
2015-02-11,18.973115729964,12.960804543049457,25.067322514997556
2015-02-12,19.78722505618184,13.91841398391609,25.835617956680736
2015-02-13,19.942548550735594,13.662947373053312,25.72201437921273
2015-02-14,19.753036960039825,13.842974435358698,25.977524090126547
2015-02-15,19.937067776410405,13.56558861071483,25.883978582209135
2015-02-16,19.825844218991264,13.98417836743477,26.128556057181715
2015-02-17,19.765044658446403,13.507889290711807,26.112192972664108
2015-02-18,20.204446592212303,13.804914987381585,26.676839133313493
2015-02-19,20.923301278018325,15.0946208022575,26.787976856945328
2015-02-20,20.960637956089467,14.980217051732392,27.224538424432414
2015-02-21,20.63374132324838,14.725500647118308,26.975573072162373
2015-02-22,20.664666395354597,14.463661663198643,26.996982874418126
2015-02-23,20.388541239514602,14.215494642388952,26.34928250459877
2015-02-24,20.155117003345428,14.121815442569948,26.503279766655083
2015-02-25,20.418291908713904,14.507587565752907,26.507099904476714
2015-02-26,20.96138782099793,14.97503866820152,26.852555945313433
2015-02-27,20.82736070634108,14.778057718770558,27.128568557884044
2015-02-28,20.337190841820455,14.294780538748773,26.39663090122782
2015-03-01,20.216318883609027,14.561748122407026,26.232144324944546
2015-03-02,19.802879965132504,13.444518573457332,25.941891850860905
2015-03-03,19.44919662863902,13.454297148841125,25.642228378056917
2015-03-04,19.611258292477252,13.333787938944704,25.344778691940466
2015-03-05,20.073966541868298,13.631628873220908,26.50620464768478
2015-03-06,19.88132786759599,13.879753170424175,26.10296144919013
2015-03-07,19.354839668052808,13.462716841887499,25.509649766363644
2015-03-08,19.21993522198069,13.070617019883413,25.613099002448067
2015-03-09,18.81423908017897,12.911494687558394,24.82686795973802
2015-03-10,18.48909266019883,12.343700279740002,24.65725106431617
2015-03-11,18.699076469011516,12.668416729580287,24.69681247688746
2015-03-12,19.22730674955216,12.716385321495935,25.279355317347115
2015-03-13,19.115686517120675,12.8672165428704,24.979038752909727
2015-03-14,18.68335502697909,11.99176840500657,24.812158795376803
2015-03-15,18.653199539461845,13.191790956931781,24.956445184502
2015-03-16,18.36017900175871,12.132975733387214,24.275877748621316
2015-03-17,18.152917584237606,11.75203508604359,24.019310245902574
2015-03-18,18.483292814137197,12.74575637830373,25.11396722637184
2015-03-19,19.13179449480805,12.646175722730918,25.217935608330208
2015-03-20,19.137832961408037,13.157244300858183,25.963627619004573
2015-03-21,18.818239497508753,12.632426901709216,24.910540176683817
2015-03-22,18.893821792710416,12.975120966078691,25.101187319423026
2015-03-23,18.69772329602973,12.830047992273483,24.795087678355202
2015-03-24,18.577043950054325,12.459107587412896,24.545270962066805
2015-03-25,18.982446776196394,12.704298149481255,25.50529156064735
2015-03-26,19.6935265349799,13.275224665544833,25.358308828690358
2015-03-27,19.74911926381267,13.67449560499089,25.66223093669972
2015-03-28,19.465795991579856,13.234072346703215,25.750955053484745
2015-03-29,19.564404180001397,13.226824199493024,25.19447718915481
2015-03-30,19.378406581884228,13.595783680434169,24.881148419456146
2015-03-31,19.255475969079185,13.429027726029865,25.27349321752997
2015-04-01,19.647071265293857,13.532752472237737,25.692846255345092
2015-04-02,20.333772432559947,14.64730517724754,26.414527812325968
2015-04-03,20.35555406180909,14.315735203770226,26.249882561850967
2015-04-04,20.030242101991146,14.185246852046085,26.27474586976929
2015-04-05,20.08001836614694,14.253798796059224,26.032867159886454
2015-04-06,19.839723515462435,13.935501295518447,25.85475012377281
2015-04-07,19.658417880877472,13.557123849706507,26.06849833340998
2015-04-08,19.98892643762394,13.975829759904004,25.937652459391767
2015-04-09,20.61314591841056,14.377999406644628,26.49151213256072
2015-04-10,20.572294497711926,14.834820894042995,27.120194516291754
2015-04-11,20.185348803066873,14.034326509624167,26.194437894633012
2015-04-12,20.175533052457347,13.842926830819108,26.275421586036842
2015-04-13,19.878611024093654,13.614802766958201,25.87150444433782
2015-04-14,19.64444007834525,13.452642829297472,25.263150920809096
2015-04-15,19.926513277114257,13.591436089561073,26.177502115335535
2015-04-16,20.50726720466671,14.268927508534437,26.95175689197252
2015-04-17,20.428335450668147,14.625871382803666,26.490387683059414
2015-04-18,20.008991973426866,13.77418640209,26.079055193352524
2015-04-19,19.97264855612577,13.921052572097278,25.87958663409207
2015-04-20,19.655156503494776,13.757164536157852,25.268866263603183
2015-04-21,19.40637114034143,13.66077440612859,25.29094335541023
2015-04-22,19.679704675274383,14.128014245040188,25.731748411628416
2015-04-23,20.257444496212305,14.131771253336808,26.748385454642328
2015-04-24,20.181016435149736,14.117590743127103,26.251647158149236
2015-04-25,19.76943687465454,13.899327333134709,25.4166155007917
2015-04-26,19.74581766595601,13.322595866649753,25.843182383026747
2015-04-27,19.445673821172424,13.56312437736888,25.48032721988609
2015-04-28,19.21849256735774,13.417667619637411,25.626425148308133
2015-04-29,19.51728930775132,13.403878600702672,25.386026936536396
2015-04-30,20.123927740255695,13.960805422434595,26.209267075055166
2015-05-01,20.079383893096626,13.882620351881393,25.97264758652529
2015-05-02,19.702198247949024,13.149391761063793,25.237432568442696
2015-05-03,19.714980269585883,13.800925328114536,25.554686338823075
2015-05-04,19.452715686008865,13.432774081742622,25.595986150594815
2015-05-05,19.264335500345194,13.512378820450106,25.794970893118556
2015-05-06,19.602272664863285,13.768723704901179,25.84980052433503
2015-05-07,20.247784023215704,14.047229601085894,26.093845198182965
2015-05-08,20.24121758876935,14.085369670950056,26.334713341850254
2015-05-09,19.900469571942104,13.962115306393907,26.35746929496185
2015-05-10,19.94749563811066,14.061839024871711,26.544647186946264
2015-05-11,19.716626811188114,13.508296687963433,25.576928157153066
2015-05-12,19.556148976050082,13.276414139195676,25.196717630822555
2015-05-13,19.917871779145752,13.987635367942373,26.593634967295554
2015-05-14,20.582464299965846,14.801673059061782,26.87237605984215
2015-05-15,20.58973723019893,14.60000868898246,27.030771338678154
2015-05-16,20.25711555376828,14.225643004606884,26.282499006078133
2015-05-17,20.306165713766283,14.29169595188163,26.374803686760686
2015-05-18,20.070927126382763,13.938142207787157,25.79579179293894
2015-05-19,19.899506399738964,13.984001836292741,25.72276856983055
2015-05-20,20.243659443102697,14.047803586811614,26.630978275698112
2015-05-21,20.88413822972983,14.920696644506426,26.90121210493161
2015-05-22,20.86098136906167,14.757729523614,26.77287757227607
2015-05-23,20.49199195230792,14.84159773345521,27.129191133904154
2015-05-24,20.499266203089256,14.549258679425076,26.28435854819586
2015-05-25,20.21712650496762,14.176745753452286,26.172749917812766
2015-05-26,19.994896565667833,13.788907361364636,25.817737003036772
2015-05-27,20.28528449338005,14.260025571904254,26.48652343058366
2015-05-28,20.870109865383178,14.310647000407599,27.064175413642044
2015-05-29,20.79057446708307,14.615209677875976,26.96040306701383
2015-05-30,20.365716411778305,14.035019877926109,26.54327893106184
2015-05-31,20.31891163382708,14.437571838405772,26.265959498435592
2015-06-01,19.986172853261344,13.98868043358022,25.764881439519044
2015-06-02,19.71770484391705,13.767178581842082,26.22987575270772
